Name,Presenter,Venue,Address,City,State,Country,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Description,Commentary,Website,Facebook,Instagram,Twitter,Youtube,News,Tag(s) (separated by commas)
Coil Festival,Performance Space 122,BRIC,647 Fulton St,Brooklyn,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Contemporary American Theatre Festival,Shepherd University,The Frank Center Stage,260 University Drive,Shepherdstown,West Virginia,USA,6,July,2018,29,July,2018,"CATF’s commitment to new work is an annual festival of new plays by American playwrights, most often premieres or second or third productions. CATF invites you to celebrate the Summer of SIX, by seeing all six plays in rotating repertory. CATF focuses on plays that deal with contemporary issues that boldly challenge and entertain audiences.",,http://catf.org/,https://www.facebook.com/CATFatSU,,https://twitter.com/thinktheater,,,
Contemporary American Theatre Festival,Shepherd University,The Marinoff Theater,62 West Campus Drive,Shepherdstown,West Virginia,USA,6,July,2018,29,July,2018,"CATF’s commitment to new work is an annual festival of new plays by American playwrights, most often premieres or second or third productions. CATF invites you to celebrate the Summer of SIX, by seeing all six plays in rotating repertory. CATF focuses on plays that deal with contemporary issues that boldly challenge and entertain audiences.",,http://catf.org/,https://www.facebook.com/CATFatSU,,https://twitter.com/thinktheater,,,
Contemporary American Theatre Festival,Shepherd University,Studio 112,92 West Campus Drive,Shepherdstown,West Virginia,USA,6,July,2018,29,July,2018,"CATF’s commitment to new work is an annual festival of new plays by American playwrights, most often premieres or second or third productions. CATF invites you to celebrate the Summer of SIX, by seeing all six plays in rotating repertory. CATF focuses on plays that deal with contemporary issues that boldly challenge and entertain audiences.",,http://catf.org/,https://www.facebook.com/CATFatSU,,https://twitter.com/thinktheater,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),The Metropolitan Museum of Art,1000 5th Ave,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),NYU Skirball Center for the Performing Arts ,566 LaGuardia Pl,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),Roberto Clemente Plaza,530 Willis Ave,Bronx,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),Weeksville Heritage Center,158 Buffalo Ave,Brooklyn,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),FIAF,22 E 60th St,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),La MaMa,66 East 4th St,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),Brooklyn Museum,200 Eastern Pkwy,Brooklyn,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),Times Square,1535 Broadway,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Crossing the Line Festival,French Institute Alliance Française (FIAF),Abrons Arts Center,466 Grand St,New York,New York,USA,6,September,2017,15,October,2017,"Crossing the Line is an international arts festival for New York City produced by the French Institute Alliance Française (FIAF) in partnership with leading cultural institutions. France has a long history of supporting national and international cultural practices, welcoming and nurturing new ideas and influential perspectives from around the world. FIAF, as the leading French cultural institution in the US, critically maintains that practice through the Crossing the Line Festival, presenting leading-edge artists from France and the US alongside their peers from around the world. Since its inauguration in 2007, Crossing the Line has cultivated an increasingly large and diverse following, and received numerous accolades in the press including “Best of"" in The New York Times, Wall Street Journal, The New Yorker, Time Out New York, Artforum, and Frieze. Festival performances have earned Obie and Bessie awards.",,https://crossingthelinefestival.org,https://www.facebook.com/fiafny,https://www.instagram.com/fiafny/,https://twitter.com/FIAFNY/,,,
Dorset Theatre Festival,Dorset Playhouse,Dorset Playhouse,104 Cheney Road,Dorset,Vermont,USA,22,June,2017,2,September,2017,"Our mission is to create bold, innovative, and authentic theatre that engages a diverse, multi-generational community, and economically diverse region: enlightening, entertaining, and inspiring our audience through the celebration of great plays. We aim to redefine the landscape of theatre by presenting thought-provoking productions drawn from the new and classic canon, as well as through the development of new plays, new audiences, and new artists for the future of American theater. We produce theatre that matters. From June to September, the Festival mounts 4 main stage productions, drawing from some of this country’s most talented playwrights, actors and directors.",,http://dorsettheatrefestival.org/,,,,,,
Downtown Urban Theater Festival,Downtown Urban Arts Festival/DUAF and Creative Ammo Inc. (CA) ,Joe's Pub at The Public Theater,425 Lafayette Street,New York City,New York,USA,13,April,2017,20,May,2017,"Downtown Urban Arts Festival (DUAF) is a five-week annual multi-disciplinary arts event with cultural offerings in theater, film, music and poetry held during the spring at renowned venues in downtown Manhattan, NYC. DUAF treats New Yorkers, East Coasters and tourists to the best of new groundbreaking theater and film from around the world. Writers from America’s burgeoning multicultural landscape and from around the world have the opportunity to share their stories that interpret our history and our times.",,https://www.duafnyc.com/theater,https://www.facebook.com/dutfnyc/,,https://twitter.com/DUAFNYC,,,
Downtown Urban Theater Festival,Downtown Urban Arts Festival/DUAF and Creative Ammo Inc. (CA) ,Cherry Lane Theatre,38 Commerce Street,New York City,New York,USA,13,April,2017,20,May,2017,"Downtown Urban Arts Festival (DUAF) is a five-week annual multi-disciplinary arts event with cultural offerings in theater, film, music and poetry held during the spring at renowned venues in downtown Manhattan, NYC. DUAF treats New Yorkers, East Coasters and tourists to the best of new groundbreaking theater and film from around the world. Writers from America’s burgeoning multicultural landscape and from around the world have the opportunity to share their stories that interpret our history and our times.",,https://www.duafnyc.com/theater,https://www.facebook.com/dutfnyc/,,https://twitter.com/DUAFNYC,,,
Dream Up Festival,Theater for the New City (TNC),Theater for the New City (TNC),155 First Ave,New York City,New York,USA,27,August,2017,17,September,2017,"Theater for the New City will present a lineup of wide-ranging and original theatrical visions embracing drama, poetry, music, and dance. Dream Up Festival will consist of performing artists representing theater and performance companies in our theater complex in downtown New York. In 2010, the inaugural Dream Up Festival offered 25 shows consisting of 23 World Premieres and 2 American Premieres. With its Dream Up Festival, Theater for the New City (TNC), which customarily presents new work by local artists, opens itself up to theater from the country at large and to artists from overseas. Its founders, Crystal Field and Michael Scott-Price, feel this is especially needed now in a time of declining donations to the arts, grants not being awarded due to market conditions, and arts funding cuts on almost every level all across the country and abroad.",,http://www.dreamupfestival.org/,https://www.facebook.com/Dream-Up-Festival-Theater-for-the-New-Citys-Summer-Showcase-176215184949/,,,,,
Great Plains Theatre Conference PlayFest,Metropolitan Community College,Bluebarn Theatre,1106 S 10th St,Omaha,Nebraska,USA,30,May,2018,1,June,2018,"PlayFest is a community performance festival held on selected evenings during the Conference in various locations across Omaha. PlayFest examines how theatre is produced, its connection to society and what new designs are possible. Performances take on a variety of forms from devised theatre and movement work created by local and national artists, to full-length plays highlighting the work of honored and featured guests, to Neighborhood Tapestries, a celebration of local stories, music, art and community. The goal of PlayFest is to paint a diverse and vibrant portrait of the city, create a chance for friends and neighbors to interact, and be a catalyst for a dialogue within the community about the stories that affect our lives.",,http://www.gptcplays.com/playfest/,,,,,,
Hollywood Fringe Festival,,,6510 Santa Monica Blvd,Los Angeles,California,USA,7,June,2018,24,June,2018,"The Hollywood Fringe Festival is an annual, open-access, community-derived event celebrating freedom of expression and collaboration in the performing arts community. Each June during the Hollywood Fringe, the arts infiltrate the Hollywood neighborhood: fully equipped theaters, parks, clubs, churches, restaurants and other unexpected places host hundreds of productions by local, national, and international arts companies and independent performers. Participation in the Hollywood Fringe is completely open and uncensored. This free-for-all approach underlines the festival’s mission to be a platform for artists without the barrier of a curative body. By opening the gates to anyone with a vision, the festival is able to exhibit the most diverse and cutting-edge points-of-view the world has to offer. Additionally, by creating an environment where artists must self-produce their work, the Fringe motivates its participants to cultivate a spirit of entrepreneurialism in the arts.",,http://www.hollywoodfringe.org/,https://www.facebook.com/hollywoodfringe,https://www.instagram.com/hollywoodfringe/,https://twitter.com/hollywoodfringe,,,
Lincoln Center Festival,,Lincoln Center for the Performing Arts,10 Lincoln Center Plaza,New York,New York,USA,10,July,2017,30,July,2017,"Since 1996, Lincoln Center Festival has presented visionary international programming of dance, music, opera, and theater by artists from more than 50 countries. To date, the Festival has presented more than 137 premieres, with emphasis on contemporary artists and multidisciplinary works.",,http://www.lincolncenter.org/lc-festival,https://www.facebook.com/LincolnCenterNYC/?utm_medium=Email&utm_source=ExactTarget&utm_campaign=,https://www.instagram.com/lincolncenter/,https://twitter.com/LincolnCenter?utm_medium=Email&utm_source=ExactTarget&utm_campaign=,,,
Mach33,Theater Arts at Caltech (TACIT),Caltech,1-67 275 S Hill Ave,Pasadena,California,USA,22,April,2017,7,May,2017,"MACH 33 fosters compelling conversations about scientific, mathematical, and technological questions by staging readings of new, unpublished plays by Los Angeles-area and Caltech/JPL playwrights. The plays in the festival offer stories that capture our imagination and ignite our curiosity about science.",,http://tacit.caltech.edu/mach33,https://www.facebook.com/groups/2867432231/about/,,,,,
San Diego International Fringe Festival,CONTACT ARTS,Lyceum Stage,79 Horton Plaza,San Diego,California,USA,21,June,2018,1,July,2018,"San Diego International Fringe Festival is a non-profit project of CONTACT ARTS, in association with the Actors Alliance of San Diego, designed to help provide a platform for artists while also helping the community as a whole - boosting arts and culture within the gorgeous City of San Diego. During the festival, artists from across the United States and around the world participate alongside homegrown talent, in art forms spanning from theatre, buskers/street performers, cabaret, comedy, circus, dance, film, poetry, spoken word, puppetry, music, visual art, design & open to any other type of artsyness not listed.",,http://sdfringe.org/,https://www.facebook.com/sdfringe,https://www.instagram.com/sdfringe/,https://twitter.com/sdfringe,https://www.youtube.com/user/TheSdfringe,,
San Francisco Fringe Festival,EXIT Theatre,EXIT Theatre,156 Eddy St,San Francisco,California,USA,6,September,2018,15,September,2018,"The 27th annual San Francisco Fringe Festival will present 84 performances by 21 theater companies between September 6th and September 15, 2018 in downtown San Francisco. The SF Fringe is open to all performers and is un-censored and non-curated with performers chosen by lottery. The San Francisco Fringe Festival is produced by EXIT Theatre and is the largest grassroots theater festival in the Bay Area. During the last 26 years the SF Fringe has presented 5,087 performances by 1,080 independent theater companies and hosted thousands of Indie Theater workers on our stages.",,http://www.sffringe.org/,,,,,,
